央视,#genre#
CCTV1,http://127.0.0.1:8080/ysp?cnlid=2024078201&livepid=600001859&defn=fhd
CCTV2,http://127.0.0.1:8080/ysp?cnlid=2024075401&livepid=600001800&defn=fhd
CCTV3,http://127.0.0.1:8080/ysp?cnlid=2024068501&livepid=600001801&defn=fhd
CCTV4,http://127.0.0.1:8080/ysp?cnlid=2029797101&livepid=600001814&defn=fhd
CCTV5,http://127.0.0.1:8080/ysp?cnlid=2024078401&livepid=600001818&defn=fhd
CCTV5+,http://127.0.0.1:8080/ysp?cnlid=2024078001&livepid=600001817&defn=fhd
CCTV6,http://127.0.0.1:8080/ysp?cnlid=2013693901&livepid=600108442&defn=fhd
CCTV7,http://127.0.0.1:8080/ysp?cnlid=2024072001&livepid=600004092&defn=fhd
CCTV8,http://127.0.0.1:8080/ysp?cnlid=2029793001&livepid=600001803&defn=fhd
CCTV9,http://127.0.0.1:8080/ysp?cnlid=2024078601&livepid=600004078&defn=fhd
CCTV10,http://127.0.0.1:8080/ysp?cnlid=2024078701&livepid=600001805&defn=fhd
CCTV11,http://127.0.0.1:8080/ysp?cnlid=2027248701&livepid=600001806&defn=fhd
CCTV12,http://127.0.0.1:8080/ysp?cnlid=2027248801&livepid=600001807&defn=fhd
CCTV13,http://127.0.0.1:8080/ysp?cnlid=2029797201&livepid=600001811&defn=fhd
CCTV14,http://127.0.0.1:8080/ysp?cnlid=2027248901&livepid=600001809&defn=fhd
CCTV15,http://127.0.0.1:8080/ysp?cnlid=2027249001&livepid=600001815&defn=fhd
CCTV16-HD,http://127.0.0.1:8080/ysp?cnlid=2027249101&livepid=600098637&defn=fhd
CCTV16(4K）,http://127.0.0.1:8080/ysp?cnlid=2027249301&livepid=600099502&defn=fhd
CCTV17,http://127.0.0.1:8080/ysp?cnlid=2027249401&livepid=600001810&defn=fhd
CCTV4K,http://127.0.0.1:8080/ysp?cnlid=2027249501&livepid=600002264&defn=fhd
CCTV8K,http://127.0.0.1:8080/ysp?cnlid=2026774101&livepid=600156816&defn=fhd
CGTN,http://127.0.0.1:8080/ysp?cnlid=2024181701&livepid=600014550&defn=fhd
CGTN法语频道,http://127.0.0.1:8080/ysp?cnlid=2024181801&livepid=600084704&defn=fhd
CGTN俄语频道,http://127.0.0.1:8080/ysp?cnlid=2024181901&livepid=600084758&defn=fhd
CGTN阿拉伯语频道,http://127.0.0.1:8080/ysp?cnlid=2024182001&livepid=600084782&defn=fhd
CGTN西班牙语频道,http://127.0.0.1:8080/ysp?cnlid=2024182101&livepid=600084744&defn=fhd
CGTN外语纪录频道,http://127.0.0.1:8080/ysp?cnlid=2024182301&livepid=600084781&defn=fhd
CCTV风云剧场频道,http://127.0.0.1:8080/ysp?cnlid=2025637103&livepid=600099658&defn=fhd
CCTV第一剧场频道,http://127.0.0.1:8080/ysp?cnlid=2026874203&livepid=600099655&defn=fhd
CCTV怀旧剧场频道,http://127.0.0.1:8080/ysp?cnlid=2026874303&livepid=600099620&defn=fhd

央视VIP,#genre#
CCTV世界地理频道,http://127.0.0.1:8080/ysp?cnlid=2026874403&livepid=600099637&defn=fhd
CCTV风云音乐频道,http://127.0.0.1:8080/ysp?cnlid=2026874503&livepid=600099660&defn=fhd
CCTV兵器科技频道,http://127.0.0.1:8080/ysp?cnlid=2026874603&livepid=600099649&defn=fhd
CCTV风云足球频道,http://127.0.0.1:8080/ysp?cnlid=2026966203&livepid=600099636&defn=fhd
CCTV高尔夫·网球频道,http://127.0.0.1:8080/ysp?cnlid=2026874703&livepid=600099659&defn=fhd
CCTV女性时尚频道,http://127.0.0.1:8080/ysp?cnlid=2026874803&livepid=600099650&defn=fhd
CCTV央视文化精品频道,http://127.0.0.1:8080/ysp?cnlid=2026874903&livepid=600099653&defn=fhd
CCTV央视台球频道,http://127.0.0.1:8080/ysp?cnlid=2026875003&livepid=600099652&defn=fhd
CCTV电视指南频道,http://127.0.0.1:8080/ysp?cnlid=2026875103&livepid=600099656&defn=fhd
CCTV卫生健康频道,http://127.0.0.1:8080/ysp?cnlid=2025637003&livepid=600099651&defn=fhd

卫视,#genre#
北京卫视,http://127.0.0.1:8080/ysp?cnlid=2024052703&livepid=600002309&defn=fhd
江苏卫视,http://127.0.0.1:8080/ysp?cnlid=2024171103&livepid=600002521&defn=fhd
东方卫视,http://127.0.0.1:8080/ysp?cnlid=2024054503&livepid=600002483&defn=fhd
浙江卫视,http://127.0.0.1:8080/ysp?cnlid=2024054703&livepid=600002520&defn=fhd
湖南卫视,http://127.0.0.1:8080/ysp?cnlid=2024054803&livepid=600002475&defn=fhd
湖北卫视,http://127.0.0.1:8080/ysp?cnlid=2024171203&livepid=600002508&defn=fhd
广东卫视,http://127.0.0.1:8080/ysp?cnlid=2024060903&livepid=600002485&defn=fhd
广西卫视,http://127.0.0.1:8080/ysp?cnlid=2024060703&livepid=600002509&defn=fhd
黑龙江卫视,http://127.0.0.1:8080/ysp?cnlid=2029797003&livepid=600002498&defn=fhd
海南卫视,http://127.0.0.1:8080/ysp?cnlid=2024055603&livepid=600002506&defn=fhd
重庆卫视,http://127.0.0.1:8080/ysp?cnlid=2024061103&livepid=600002531&defn=fhd
深圳卫视,http://127.0.0.1:8080/ysp?cnlid=2024061303&livepid=600002481&defn=fhd
四川卫视,http://127.0.0.1:8080/ysp?cnlid=2024061403&livepid=600002516&defn=fhd
河南卫视,http://127.0.0.1:8080/ysp?cnlid=2029797303&livepid=600002525&defn=fhd
福建东南卫视,http://127.0.0.1:8080/ysp?cnlid=2024061503&livepid=600002484&defn=fhd
贵州卫视,http://127.0.0.1:8080/ysp?cnlid=2024061603&livepid=600002490&defn=fhd
江西卫视,http://127.0.0.1:8080/ysp?cnlid=2024061703&livepid=600002503&defn=fhd
辽宁卫视,http://127.0.0.1:8080/ysp?cnlid=2024171303&livepid=600002505&defn=fhd
安徽卫视,http://127.0.0.1:8080/ysp?cnlid=2024171403&livepid=600002532&defn=fhd
