央視,#genre#
cctv1,http://127.0.0.1:8080/ysp?cnlid=2024078201&livepid=600001859&defn=fhd
cctv2,http://127.0.0.1:8080/ysp?cnlid=2024075401&livepid=600001800&defn=fhd
cctv3,http://127.0.0.1:8080/ysp?cnlid=2024068501&livepid=600001801&defn=fhd
cctv4亞洲,http://127.0.0.1:8080/ysp?cnlid=2024078301&livepid=600001814&defn=fhd
cctv5,http://127.0.0.1:8080/ysp?cnlid=2024078401&livepid=600001818&defn=fhd
cctv5+,http://127.0.0.1:8080/ysp?cnlid=2024078001&livepid=600001817&defn=fhd
cctv6,http://127.0.0.1:8080/ysp?cnlid=2013693901&livepid=600108442&defn=fhd
cctv7,http://127.0.0.1:8080/ysp?cnlid=2024072001&livepid=600004092&defn=fhd
cctv8,http://127.0.0.1:8080/ysp?cnlid=2024078501&livepid=600001803&defn=fhd
cctv9,http://127.0.0.1:8080/ysp?cnlid=2024078601&livepid=600004078&defn=fhd
cctv10,http://127.0.0.1:8080/ysp?cnlid=2024078701&livepid=600001805&defn=fhd
cctv11,http://127.0.0.1:8080/ysp?cnlid=2027248701&livepid=600001806&defn=fhd
cctv12,http://127.0.0.1:8080/ysp?cnlid=2027248801&livepid=600001807&defn=fhd
cctv13,http://127.0.0.1:8080/ysp?cnlid=2024079001&livepid=600001811&defn=fhd
cctv14,http://127.0.0.1:8080/ysp?cnlid=2027248901&livepid=600001809&defn=fhd
cctv15,http://127.0.0.1:8080/ysp?cnlid=2027249001&livepid=600001815&defn=fhd
cctv16,http://127.0.0.1:8080/ysp?cnlid=2027249101&livepid=600098637&defn=fhd
cctv16,http://127.0.0.1:8080/ysp?cnlid=2027249301&livepid=600099502&defn=hdr
cctv17,http://127.0.0.1:8080/ysp?cnlid=2027249401&livepid=600001810&defn=fhd
cctv4k,http://127.0.0.1:8080/ysp?cnlid=2027249501&livepid=600002264&defn=hdr
cctv8k,http://127.0.0.1:8080/ysp?cnlid=2026774101&livepid=600156816&defn=hdr
cctv第一劇場,http://127.0.0.1:8080/ysp?cnlid=2026874202&livepid=600099655&defn=shd
cctv風雲劇場,http://127.0.0.1:8080/ysp?cnlid=2025637102&livepid=600099658&defn=shd
cctv懷舊劇場,http://127.0.0.1:8080/ysp?cnlid=2026874302&livepid=600099620&defn=shd
cgtn,http://127.0.0.1:8080/ysp?cnlid=2024181701&livepid=600014550&defn=fhd
cgtn法語,http://127.0.0.1:8080/ysp?cnlid=2024181801&livepid=600084704&defn=fhd
cgtn俄語,http://127.0.0.1:8080/ysp?cnlid=2024181901&livepid=600084758&defn=fhd
cgtn阿拉伯語,http://127.0.0.1:8080/ysp?cnlid=2024182001&livepid=600084782&defn=fhd
cgtn西班牙語,http://127.0.0.1:8080/ysp?cnlid=2024182101&livepid=600084744&defn=fhd
cgtn英文記錄片,http://127.0.0.1:8080/ysp?cnlid=2024182301&livepid=600084781&defn=fhd

衛視,#genre#
北京衛視,http://127.0.0.1:8080/ysp?cnlid=2024052703&livepid=600002309&defn=fhd
東方衛視,http://127.0.0.1:8080/ysp?cnlid=2024054503&livepid=600002483&defn=fhd
江蘇衛視,http://127.0.0.1:8080/ysp?cnlid=2024171103&livepid=600002521&defn=fhd
浙江衛視,http://127.0.0.1:8080/ysp?cnlid=2024054703&livepid=600002520&defn=fhd
湖南衛視,http://127.0.0.1:8080/ysp?cnlid=2024054803&livepid=600002475&defn=fhd
湖北衛視,http://127.0.0.1:8080/ysp?cnlid=2024171203&livepid=600002508&defn=fhd
廣東衛視,http://127.0.0.1:8080/ysp?cnlid=2024060903&livepid=600002485&defn=fhd
廣西衛視,http://127.0.0.1:8080/ysp?cnlid=2024060703&livepid=600002509&defn=fhd
黑龍江衛視,http://127.0.0.1:8080/ysp?cnlid=2024061003&livepid=600002498&defn=fhd
海南衛視,http://127.0.0.1:8080/ysp?cnlid=2024055603&livepid=600002506&defn=fhd
重慶衛視,http://127.0.0.1:8080/ysp?cnlid=2024061103&livepid=600002531&defn=fhd
中國教育電視臺-1,http://127.0.0.1:8080/ysp?cnlid=2022823801&livepid=600171827&defn=fhd
深圳衛視,http://127.0.0.1:8080/ysp?cnlid=2024061303&livepid=600002481&defn=fhd
四川衛視,http://127.0.0.1:8080/ysp?cnlid=2024061403&livepid=600002516&defn=fhd
河南衛視,http://127.0.0.1:8080/ysp?cnlid=2024059703&livepid=600002525&defn=fhd
東南衛視,http://127.0.0.1:8080/ysp?cnlid=2024061503&livepid=600002484&defn=fhd
貴州衛視,http://127.0.0.1:8080/ysp?cnlid=2024061603&livepid=600002490&defn=fhd
江西衛視,http://127.0.0.1:8080/ysp?cnlid=2024061703&livepid=600002503&defn=fhd
遼寧衛視,http://127.0.0.1:8080/ysp?cnlid=2024171303&livepid=600002505&defn=fhd
安徽衛視,http://127.0.0.1:8080/ysp?cnlid=2024171403&livepid=600002532&defn=fhd
河北衛視,http://127.0.0.1:8080/ysp?cnlid=2024171503&livepid=600002493&defn=fhd
山東衛視,http://127.0.0.1:8080/ysp?cnlid=2024171603&livepid=600002513&defn=fhd
天津衛視,http://127.0.0.1:8080/ysp?cnlid=2019927003&livepid=600152137&defn=fhd
陝西衛視,http://127.0.0.1:8080/ysp?cnlid=2025561103&livepid=600190400&defn=fhd
內蒙古衛視,http://127.0.0.1:8080/ysp?cnlid=2025561203&livepid=600190401&defn=fhd
甘肅衛視,http://127.0.0.1:8080/ysp?cnlid=2025561703&livepid=600190408&defn=fhd
寧夏衛視,http://127.0.0.1:8080/ysp?cnlid=2025608503&livepid=600190737&defn=fhd
山西衛視,http://127.0.0.1:8080/ysp?cnlid=2025560803&livepid=600190407&defn=fhd
雲南衛視,http://127.0.0.1:8080/ysp?cnlid=2025561303&livepid=600190402&defn=fhd
吉林衛視,http://127.0.0.1:8080/ysp?cnlid=2025561503&livepid=600190405&defn=fhd
青海衛視,http://127.0.0.1:8080/ysp?cnlid=2025559103&livepid=600190406&defn=fhd
